iter	RMSE
0	0.399803518
1	0.3979448252
2	0.3961616212
3	0.3944912112
4	0.3927943836
5	0.391070981
6	0.3893687186
7	0.387681735
8	0.3861038013
9	0.3845154567
10	0.3829805412
11	0.3815037048
12	0.3798310658
13	0.3782849463
14	0.3768424742
15	0.3753326798
16	0.3737718221
17	0.3722400265
18	0.370745543
19	0.3691836577
20	0.3676658316
21	0.3662770652
22	0.3647597471
23	0.3632263804
24	0.3618519678
25	0.3603733218
26	0.3589570935
27	0.3575654252
28	0.3561553336
29	0.3547065789
30	0.3533447893
31	0.3519557379
32	0.3506298996
33	0.3493208491
34	0.348009034
35	0.3466656437
36	0.3453025711
37	0.3439523668
38	0.3426499632
39	0.3414757428
40	0.3403998533
41	0.3391397065
42	0.3378585875
43	0.3366209017
44	0.3354860988
45	0.3342483644
46	0.3330860065
47	0.3319764941
48	0.3307071599
49	0.3295112488
50	0.3283456849
51	0.327240386
52	0.3260228657
53	0.3249795813
54	0.3238679532
55	0.3227328682
56	0.3216716274
57	0.3205958589
58	0.3195162814
59	0.3184534181
60	0.3173622165
61	0.3163777458
62	0.3153523035
63	0.3142250095
64	0.3131736573
65	0.312070293
66	0.3111074151
67	0.3100789858
68	0.3090295416
69	0.3080557402
70	0.3070677393
71	0.3062169127
72	0.3053414577
73	0.3043323334
74	0.3032885189
75	0.3022782766
76	0.3014474758
77	0.3005351567
78	0.2995527514
79	0.2986256062
80	0.2977866016
81	0.2968936971
82	0.2959336562
83	0.2950133967
84	0.2941240576
85	0.2932961803
86	0.2923690247
87	0.2914069526
88	0.2904797058
89	0.2896105722
90	0.2887059307
91	0.2878739805
92	0.2871384215
93	0.2862667122
94	0.2855299904
95	0.2847338156
96	0.2839487296
97	0.2831884938
98	0.2823509808
99	0.2815072122
100	0.2806761544
101	0.2798694306
102	0.2790633745
103	0.2782710476
104	0.2774661574
105	0.2766766503
106	0.2759106012
107	0.2751155433
108	0.274340197
109	0.2735687579
110	0.2728583609
111	0.2720877601
112	0.27132729
113	0.2705526034
114	0.2698598543
115	0.2691191753
116	0.2684990932
117	0.2678490821
118	0.2671631297
119	0.266462014
120	0.265777507
121	0.265157499
122	0.264434412
123	0.2637158121
124	0.2630380611
125	0.2623783927
126	0.2617196514
127	0.2610595912
128	0.2604382018
129	0.2597885261
130	0.2591478526
131	0.2585632373
132	0.2579829774
133	0.2573320129
134	0.2567033758
135	0.2561575847
136	0.2555333975
137	0.2549333658
138	0.2543251311
139	0.2537091115
140	0.2530813481
141	0.2524867713
142	0.2519064497
143	0.2513306896
144	0.2507511679
145	0.2501513489
