iter	Passed	Remaining
0	0	7689
1	1	11326
2	1	10505
3	1	8883
4	1	7838
5	2	7134
6	2	6637
7	2	6255
8	2	5957
9	2	5721
10	3	5524
11	3	5363
12	3	5249
13	3	5132
14	3	5037
15	3	4944
16	4	4868
17	4	4805
18	4	4747
19	4	4689
20	4	4639
21	5	4592
22	5	4548
23	5	4506
24	5	4470
25	5	4437
26	5	4405
27	6	4881
28	7	4929
29	7	5033
30	8	5154
31	9	5642
32	9	5616
33	9	5561
34	9	5506
35	9	5455
36	10	5407
37	10	5360
38	10	5322
39	10	5280
40	10	5238
41	10	5197
42	11	5160
43	11	5168
44	11	5149
45	11	5127
46	12	5132
47	12	5139
48	12	5146
49	12	5156
50	13	5199
51	13	5329
52	14	5325
53	14	5429
54	15	5449
55	15	5442
56	15	5424
57	15	5419
58	15	5399
59	16	5384
60	16	5369
61	16	5359
62	16	5341
63	17	5349
64	17	5327
65	17	5302
66	17	5301
67	18	5300
68	18	5290
69	18	5287
70	18	5273
71	18	5256
72	19	5247
73	19	5236
74	19	5222
75	19	5206
76	20	5192
77	20	5181
78	20	5181
79	20	5169
80	20	5158
81	21	5147
82	21	5139
83	22	5236
84	22	5259
85	22	5297
86	23	5297
87	23	5291
88	23	5277
89	23	5273
90	24	5264
91	24	5247
92	24	5229
93	24	5211
94	24	5193
95	25	5197
96	25	5201
97	25	5186
98	25	5170
99	25	5154
100	26	5153
101	26	5144
102	26	5136
103	26	5128
104	27	5125
105	27	5129
106	27	5118
107	27	5105
108	27	5090
109	28	5102
110	28	5094
111	28	5100
112	28	5093
113	29	5089
114	29	5082
115	29	5075
116	29	5067
117	30	5057
118	30	5050
119	30	5085
120	30	5078
121	31	5084
122	31	5072
123	31	5060
124	31	5048
125	32	5056
126	32	5045
127	32	5032
128	32	5021
129	32	5009
130	32	4998
131	33	4986
132	33	4975
133	33	4963
134	33	4952
135	33	4942
136	34	4946
137	34	4951
138	34	4954
139	34	4957
140	35	4962
141	35	4965
142	35	4968
143	36	4971
144	36	4987
145	36	4992
146	36	4996
147	37	5000
148	38	5070
149	38	5077
150	43	5730
151	43	5732
152	44	5732
153	44	5731
154	44	5731
155	45	5732
156	45	5725
157	45	5740
158	46	5748
159	46	5766
160	46	5772
161	47	5766
162	47	5807
163	47	5803
164	48	5794
165	48	5785
166	48	5781
167	48	5772
168	49	5760
169	49	5751
170	49	5745
171	49	5739
172	49	5730
173	50	5725
174	50	5717
175	50	5710
176	50	5703
177	51	5697
178	51	5690
179	51	5682
