,pace_sec,half_pace_sec,age,time_hours,age_range,race_uniform_index,bib
2,192.48726152387724,189.88031757317216,31,2.256111111111111,Cancha Reglamentaria(29-39),0.0003967770091537,3
10,193.4115416518545,189.73812063040648,32,2.2669444444444444,Cancha Reglamentaria(29-39),0.0010415161267654,12
8,198.933522929257,188.26875222182724,27,2.3316666666666666,Dientes de leche(0-28),0.006923548588082,10
8968,199.45491171939804,195.09420547458228,29,2.3377777777777777,Cancha Reglamentaria(29-39),0.0007984454070323,15008
3,200.66358573290677,186.89418177509185,36,2.3519444444444444,Cancha Reglamentaria(29-39),0.0090026638017299,4
5,201.7537622941107,194.47801872259743,33,2.3647222222222224,Cancha Reglamentaria(29-39),0.0030133140854475,7
12,203.83931745467476,197.41675553975588,31,2.3891666666666667,Cancha Reglamentaria(29-39),0.0016013661035757,14
6,205.47458229648063,195.09420547458228,30,2.408333333333333,Cancha Reglamentaria(29-39),0.0044722657500749,8
8361,205.94857210569967,201.49306789904017,26,2.4138888888888888,Dientes de leche(0-28),0.0012801126432972,10522
4,207.0861476478256,194.90460955089463,42,2.4272222222222224,WTF Happened(40-49),0.0064385118024892,5
23,208.5555160564048,192.25026661926768,27,2.4444444444444446,Dientes de leche(0-28),0.0165677398396333,33
8970,208.7451119800924,199.59710866216372,32,2.4466666666666668,Cancha Reglamentaria(29-39),0.0039698725334797,15010
11,209.78788956037445,208.2237231899514,25,2.4588888888888887,Dientes de leche(0-28),6.37527055180416e-05,13
6531,209.88268752221828,208.2237231899514,43,2.46,WTF Happened(40-49),5.755346128890463e-05,8422
9,209.88268752221828,201.54046687996208,28,2.46,Dientes de leche(0-28),0.0033413566747288,11
8519,210.2855788600545,208.2237231899514,38,2.464722222222222,Cancha Reglamentaria(29-39),5.777031663738529e-05,10709
8966,210.68847019789075,208.27112217087333,34,2.4694444444444446,Cancha Reglamentaria(29-39),7.891469007572757e-05,15006
0,211.1861594975708,208.31852115179524,30,2.475277777777778,Cancha Reglamentaria(29-39),0.0001328991472724,1
18,211.20985898803173,208.1763242090295,35,2.4755555555555557,Cancha Reglamentaria(29-39),0.0001613061461137,22
8972,212.15783860647,208.27112217087333,36,2.486666666666667,Cancha Reglamentaria(29-39),0.0003752164315756,15012
7,212.86882332029865,208.2237231899514,26,2.495,Dientes de leche(0-28),0.000693348648585,9
6075,214.4092902002607,210.54627325512504,34,2.5130555555555554,Cancha Reglamentaria(29-39),0.0003651109491717,7899
8971,215.19137338547225,208.2237231899514,22,2.522222222222222,Dientes de leche(0-28),0.0015715844912497,15011
8154,215.28617134731604,208.2237231899514,33,2.5233333333333334,Cancha Reglamentaria(29-39),0.0019588406670562,10294
5414,215.38096930915984,213.2954141485958,26,2.5244444444444443,Dientes de leche(0-28),0.0001060734592512,7108
6772,218.1064107121697,211.0202630643441,27,2.556388888888889,Dientes de leche(0-28),0.001830004402713,8699
8964,219.69427657305368,212.01564166370423,31,2.575,Cancha Reglamentaria(29-39),0.0020584676379412,15003
1,220.59485721057,212.15783860647,35,2.5855555555555556,Cancha Reglamentaria(29-39),0.002555654543546,2
