Overall Position,Gender Position,Category Position,Category,Race No,Country ,Official Time,Net Time,10km Time,Half Way Time,30km Time
1,1,1,MR1,A0066,Ireland,2:51:05,2:51:02,0:38:50,1:23:15,1:59:44
2,2,2,MR1,A6190,Hong Kong SAR,2:54:04,2:53:57,0:39:35,1:24:09,2:00:24
3,3,3,MR1,A4491,China,2:58:34,2:57:28,0:40:53,1:27:03,2:04:02
4,4,4,MR1,A8955,China,3:03:34,3:03:28,0:42:52,1:30:34,2:08:36
5,5,5,MR1,A5879,China,3:04:50,3:04:49,0:40:42,1:27:31,2:06:08
6,6,6,MR1,A1000,China,3:09:24,3:09:23,0:45:05,1:34:01,
7,7,7,MR1,A4511,United Kingdom,3:09:28,3:08:52,0:43:24,1:31:39,2:10:46
8,8,8,MR1,A8213,China,3:10:46,3:09:42,0:47:08,1:36:10,2:15:34
9,1,9,MR1,A5526,United States,3:12:06,3:10:26,0:48:21,1:36:52,2:16:24
10,9,10,MR1,A7725,China,3:13:22,3:13:19,0:42:49,1:31:16,2:11:51
11,10,11,MR1,A6025,China,3:13:26,3:13:19,0:46:42,1:36:30,2:15:48
12,11,12,MR1,A5456,China,3:13:32,3:13:24,0:45:47,1:36:54,2:16:20
13,12,13,MR1,A1260,Hong Kong SAR,3:15:10,3:15:02,0:46:35,1:36:39,2:16:48
14,13,14,MR1,A2801,Hong Kong SAR,3:15:11,3:15:04,0:42:39,1:30:29,2:10:13
15,14,15,MR1,A4932,China,3:15:31,3:15:29,0:45:37,1:35:55,2:16:11
16,15,16,MR1,A4629,Hong Kong SAR,3:15:55,3:13:52,0:48:23,1:36:53,2:16:51
17,16,17,MR1,A3193,Hong Kong SAR,3:17:37,3:17:34,0:43:56,1:33:04,2:14:50
18,17,18,MR1,A8875,China,3:18:08,3:18:07,0:45:32,1:35:17,2:16:24
19,18,19,MR1,A8683,China,3:18:46,3:18:33,0:46:31,1:37:42,2:19:02
20,19,20,MR1,A6327,Macao SAR,3:19:04,3:18:51,0:47:33,1:41:37,2:22:09
21,20,21,MR1,A1821,Hong Kong SAR,3:19:11,3:17:03,0:48:19,1:36:56,2:16:54
22,21,22,MR1,A7607,China,3:19:15,3:18:51,0:43:39,1:31:25,2:12:04
23,22,23,MR1,A6167,Hong Kong SAR,3:20:56,3:20:15,0:45:57,1:36:38,2:18:30
24,23,24,MR1,A5202,Sweden,3:22:59,3:21:23,0:48:14,1:39:33,2:20:35
25,24,25,MR1,A5610,Hong Kong SAR,3:23:32,3:23:28,0:48:20,1:41:03,2:23:21
26,25,26,MR1,A0559,Hong Kong SAR,3:23:42,3:23:36,0:47:45,1:41:51,2:25:17
27,26,27,MR1,A7530,Hong Kong SAR,3:23:45,3:23:44,,1:34:59,2:17:06
28,27,28,MR1,A0909,Hong Kong SAR,3:23:46,3:23:41,0:48:01,1:40:30,2:22:44
29,28,29,MR1,A0212,Hong Kong SAR,3:24:12,3:23:50,0:46:06,1:38:46,2:21:58
30,29,30,MR1,A5170,China,3:24:28,3:24:27,0:38:12,1:21:17,1:56:31
31,30,31,MR1,A2743,Ireland,3:24:42,3:24:37,0:47:16,1:40:04,2:24:06
32,31,32,MR1,A7852,Hong Kong SAR,3:24:44,3:24:38,,1:29:58,2:12:50
33,32,33,MR1,A7890,China,3:24:53,3:24:38,0:49:33,1:44:45,2:26:51
34,33,34,MR1,A2417,China,3:25:07,3:25:02,0:48:44,1:41:41,2:24:55
35,34,35,MR1,A0051,Hong Kong SAR,3:25:28,3:24:57,0:48:24,1:40:02,2:22:15
